member_casual,hour,ride_count
casual,0.0,39234
casual,1.0,25195
casual,2.0,16691
casual,3.0,9309
casual,4.0,7422
casual,5.0,11830
casual,6.0,26805
casual,7.0,49650
casual,8.0,71407
casual,9.0,70525
casual,10.0,84944
casual,11.0,108220
casual,12.0,128335
casual,13.0,132761
casual,14.0,139963
casual,15.0,155426
casual,16.0,178494
casual,17.0,193381
casual,18.0,164985
casual,19.0,123864
casual,20.0,89661
casual,21.0,75775
casual,22.0,63940
casual,23.0,45243
member,0.0,32760
member,1.0,19968
member,2.0,11978
member,3.0,7801
member,4.0,8931
member,5.0,35357
member,6.0,103806
member,7.0,206469
member,8.0,267752
member,9.0,170379
member,10.0,145900
member,11.0,170529
member,12.0,194311
member,13.0,190953
member,14.0,194297
member,15.0,245410
member,16.0,348753
member,17.0,396935
member,18.0,306350
member,19.0,212252
member,20.0,148122
member,21.0,114822
member,22.0,82938
member,23.0,51265
